Initiative Name,Initiative Type,Country,Lead Organization,Budget (USD million),Start Year,Targeted Completion Year,Expected Impact,Actual Impact,Number of Jobs Created,Funding Source,Public Awareness Level (%),Technology Used,Geographical Coverage (sq km),Annual Progress Report,Community Engagement Level (%),Policy Alignment,Emission Reduction per Year (tonnes),Renewable Energy Capacity Added (MW),Green Infrastructure Developed (km)
Reforestation Initiative in Germany #954,Reforestation Initiative,Germany,Green Growth Initiative,1985,2012,2025,0.56,0.07,14647,International Aid,80,None,100554,no,91,International,1180627,34579,604
Green Infrastructure Development in Brazil #955,Green Infrastructure Development,Brazil,Clean Energy Foundation,665,2022,2027,0.6,0.46,81423,Private Sector,58,None,85055,no,77,National,335033,30703,631
Clean Transportation Initiative in Canada #956,Clean Transportation Initiative,Canada,Sustainable Future Org,1359,2025,2038,0.39,0.11,57288,Government,51,Hydropower,390075,yes,77,International,51056,21570,649
Green Infrastructure Development in Australia #957,Green Infrastructure Development,Australia,Clean Energy Foundation,210,2019,2024,0.89,1,2487,Government,90,Geothermal,116067,no,100,National,38147,44301,302
Emission Control Program in China #958,Emission Control Program,China,Green Growth Initiative,1161,2025,2030,0.57,0.59,54732,Private Sector,78,Hydropower,439192,yes,91,International,1550773,19085,548
Emission Control Program in Japan #959,Emission Control Program,Japan,Sustainable Future Org,1438,2012,2024,0.79,0.94,42015,Private Sector,75,Hydropower,63765,no,50,International,27854,29868,982
Renewable Energy Project in UK #960,Renewable Energy Project,UK,Zero Emissions Initiative,84,2010,2020,0.98,0.38,27324,Private Sector,77,Bioenergy,422542,no,67,International,943497,14497,429
Energy Efficiency Campaign in China #961,Energy Efficiency Campaign,China,Green Earth Alliance,925,2020,2027,0.6,0.97,8372,International Aid,69,Geothermal,69187,yes,99,National,1810819,36385,884
Sustainable Agriculture Program in Australia #962,Sustainable Agriculture Program,Australia,Green Earth Alliance,532,2020,2025,0.43,0.75,4717,Government,73,Bioenergy,204809,no,98,National,1303692,8210,920
Water Conservation Project in India #963,Water Conservation Project,India,Zero Emissions Initiative,1270,2019,2027,0.24,0.21,64317,International Aid,59,Solar,132069,no,70,International,923619,32175,612
Reforestation Initiative in India #964,Reforestation Initiative,India,Global Renewable Group,1147,2010,2020,0.47,0.72,87737,Government,80,Solar,411451,no,75,National,997356,12080,954
Waste Management Plan in UK #965,Waste Management Plan,UK,Sustainable Future Org,1229,2015,2027,0.06,0.86,39311,Government,61,Geothermal,429128,yes,99,National,1212619,14705,857
Climate Education Program in Germany #966,Climate Education Program,Germany,Green Earth Alliance,1772,2011,2020,0.89,0.18,51698,Government,80,Hydropower,395642,no,67,International,777033,20208,553
Sustainable Agriculture Program in India #967,Sustainable Agriculture Program,India,Sustainable Future Org,1732,2023,2034,0.96,0.94,1090,International Aid,89,Wind,389438,no,77,International,1631652,48485,905
Energy Efficiency Campaign in UK #968,Energy Efficiency Campaign,UK,Global Renewable Group,700,2013,2019,0.38,0.16,38347,Private Sector,59,None,144746,yes,56,National,1304740,37354,619
Water Conservation Project in Australia #969,Water Conservation Project,Australia,Sustainable Future Org,1109,2016,2030,0.6,0.77,68699,Private Sector,51,Hydropower,330606,yes,52,National,1811852,25786,766
Emission Control Program in Germany #970,Emission Control Program,Germany,Green Growth Initiative,133,2020,2032,0.78,0.78,49369,Private Sector,80,Hydropower,303393,yes,94,International,113626,23937,873
Waste Management Plan in Canada #971,Waste Management Plan,Canada,Eco Innovation Lab,515,2020,2030,0.9,0.26,70488,Government,65,Geothermal,317861,no,83,International,1757781,23988,783
Renewable Energy Project in Australia #972,Renewable Energy Project,Australia,Green Earth Alliance,187,2024,2036,0.31,0.22,77943,Private Sector,54,Wind,290079,no,92,International,1240835,9102,707
Waste Management Plan in France #973,Waste Management Plan,France,Green Earth Alliance,1623,2023,2034,0.66,0.54,78891,Government,79,Bioenergy,201529,no,71,National,924733,47634,718
Sustainable Agriculture Program in Japan #974,Sustainable Agriculture Program,Japan,Eco Innovation Lab,1294,2024,2031,0.23,0.44,23405,International Aid,83,Geothermal,133929,no,53,National,1105776,22008,903
Energy Efficiency Campaign in China #975,Energy Efficiency Campaign,China,Global Renewable Group,634,2018,2028,0.49,0.8,34257,Government,85,None,240080,yes,74,National,1147862,7253,502
Climate Education Program in Germany #976,Climate Education Program,Germany,Green Growth Initiative,1115,2012,2022,0.73,0.67,36081,Private Sector,90,Hydropower,9641,yes,86,International,1673101,32781,687
Emission Control Program in UK #977,Emission Control Program,UK,Green Earth Alliance,1360,2018,2026,0.69,0.39,50003,Government,61,Hydropower,409158,no,63,International,17115,20797,714
Sustainable Agriculture Program in Germany #978,Sustainable Agriculture Program,Germany,Climate Action Network,1428,2023,2034,0.78,0.14,59874,Private Sector,61,Hydropower,487742,no,83,National,620272,36567,497
Energy Efficiency Campaign in Brazil #979,Energy Efficiency Campaign,Brazil,Clean Energy Foundation,323,2023,2029,0.28,0.62,90154,Private Sector,62,None,182836,no,56,National,1855100,39548,76
Renewable Energy Project in UK #980,Renewable Energy Project,UK,Green Growth Initiative,408,2016,2026,0.58,0.88,35263,Government,71,Wind,112861,yes,72,International,1872832,10422,158
Green Infrastructure Development in Germany #981,Green Infrastructure Development,Germany,Global Renewable Group,1604,2012,2027,0.09,0.78,30422,Private Sector,53,Hydropower,201777,no,50,International,1581519,40155,466
Energy Efficiency Campaign in India #982,Energy Efficiency Campaign,India,Eco Innovation Lab,781,2015,2021,0.61,0.54,45292,International Aid,92,Bioenergy,285667,yes,80,National,1735682,45135,93
Emission Control Program in UK #983,Emission Control Program,UK,Sustainable Future Org,94,2019,2033,0.69,0.61,31638,International Aid,53,None,287487,yes,51,International,946982,13735,455
Green Infrastructure Development in France #984,Green Infrastructure Development,France,Clean Energy Foundation,1046,2019,2033,0.05,1,39484,Government,60,Hydropower,369042,yes,85,International,677419,38950,992
Green Infrastructure Development in India #985,Green Infrastructure Development,India,Clean Energy Foundation,373,2011,2017,0.86,0.95,26014,Private Sector,63,None,457535,no,83,International,309452,43089,789
Green Infrastructure Development in UK #986,Green Infrastructure Development,UK,Earth Guardians,1720,2011,2017,0.48,0.92,71829,Private Sector,86,Hydropower,286996,no,62,National,830059,23265,46
Clean Transportation Initiative in USA #987,Clean Transportation Initiative,USA,Climate Action Network,861,2010,2016,0.91,0.46,44889,Private Sector,80,Geothermal,446373,no,93,National,1493630,2142,745
Water Conservation Project in China #988,Water Conservation Project,China,Global Renewable Group,1730,2021,2030,0.21,0.68,16886,Government,64,Bioenergy,136631,no,68,International,1440733,37442,126
Climate Education Program in India #989,Climate Education Program,India,Eco Innovation Lab,161,2018,2031,0.11,0.36,27800,International Aid,82,Wind,414784,no,69,International,24306,20782,958
Emission Control Program in India #990,Emission Control Program,India,Eco Innovation Lab,1474,2021,2031,0.97,0.21,54714,International Aid,68,None,351821,no,85,International,1184774,15503,489
Reforestation Initiative in Japan #991,Reforestation Initiative,Japan,Clean Energy Foundation,824,2012,2017,0.42,0.21,79966,Government,61,Hydropower,51257,no,63,National,56345,26917,422
Sustainable Agriculture Program in Germany #992,Sustainable Agriculture Program,Germany,Earth Guardians,229,2020,2034,0.08,0.41,41388,International Aid,91,Solar,403822,yes,81,International,129854,299,342
Water Conservation Project in Brazil #993,Water Conservation Project,Brazil,Clean Energy Foundation,958,2011,2021,0.74,0.24,1386,Government,71,Wind,222678,no,98,International,1184189,38349,210
Climate Education Program in UK #994,Climate Education Program,UK,Global Renewable Group,1897,2013,2020,0.21,0.54,38759,Private Sector,53,Solar,287034,no,56,National,1694882,19488,879
Green Infrastructure Development in Japan #995,Green Infrastructure Development,Japan,Zero Emissions Initiative,938,2015,2021,0.54,0.63,53233,Government,61,Wind,450228,no,66,International,1404307,41685,396
Sustainable Agriculture Program in France #996,Sustainable Agriculture Program,France,Green Earth Alliance,257,2018,2024,0.97,0.76,53715,Government,79,None,218719,no,62,National,1392438,5891,626
Renewable Energy Project in Brazil #997,Renewable Energy Project,Brazil,Global Renewable Group,1940,2024,2029,0.24,0.34,91790,Government,71,Wind,221158,yes,94,International,716038,47978,420
Renewable Energy Project in India #998,Renewable Energy Project,India,Sustainable Future Org,1762,2010,2024,0.28,0.46,54719,Private Sector,73,Geothermal,158005,no,83,International,1144082,5067,270
Water Conservation Project in Canada #999,Water Conservation Project,Canada,Zero Emissions Initiative,1187,2013,2019,0.34,0.7,4589,International Aid,54,Hydropower,366874,no,79,International,695168,14926,441
Green Infrastructure Development in Canada #1000,Green Infrastructure Development,Canada,Green Earth Alliance,625,2018,2029,0.58,0.23,95955,International Aid,61,Wind,396611,no,76,International,1882103,27211,283
Climate Education Program in Germany #1001,Climate Education Program,Germany,Clean Energy Foundation,217,2016,2024,0.91,0.51,34137,International Aid,96,Geothermal,465067,no,73,National,273862,33248,643
Clean Transportation Initiative in China #1002,Clean Transportation Initiative,China,Global Renewable Group,1170,2010,2018,0.06,0.82,25789,Private Sector,84,Wind,319097,no,74,National,1908174,43605,408
Energy Efficiency Campaign in China #1003,Energy Efficiency Campaign,China,Green Earth Alliance,854,2021,2027,0.39,0.71,48277,Government,83,Solar,455580,no,52,International,940019,36660,669
Renewable Energy Project in USA #1004,Renewable Energy Project,USA,Eco Warriors,373,2022,2033,0.66,0.34,58375,Government,89,Bioenergy,413572,no,64,International,667647,4537,966
Climate Education Program in Canada #1005,Climate Education Program,Canada,Green Growth Initiative,1363,2015,2029,0.84,0.47,45039,Government,65,Wind,268413,yes,65,International,1376900,19279,217
Water Conservation Project in USA #1006,Water Conservation Project,USA,Sustainable Future Org,977,2019,2026,0.77,0.34,6885,International Aid,85,Geothermal,394474,no,78,National,1167385,19305,162
Clean Transportation Initiative in France #1007,Clean Transportation Initiative,France,Green Growth Initiative,565,2014,2023,0.8,0.32,37598,Government,97,Solar,303062,yes,98,National,1326390,28253,253
Sustainable Agriculture Program in China #1008,Sustainable Agriculture Program,China,Climate Action Network,148,2019,2024,0.13,0.33,5420,International Aid,83,None,361679,yes,74,National,1835585,32024,600
Climate Education Program in Australia #1009,Climate Education Program,Australia,Eco Innovation Lab,1177,2012,2025,0.05,0.29,52119,International Aid,85,None,33364,yes,79,International,1244452,3054,549
Renewable Energy Project in Brazil #1010,Renewable Energy Project,Brazil,Global Renewable Group,729,2012,2019,0.6,0.53,89749,International Aid,55,Solar,284636,no,67,International,1343604,3275,995
Green Infrastructure Development in USA #1011,Green Infrastructure Development,USA,Sustainable Future Org,730,2023,2032,0.11,0.86,31757,Private Sector,86,Solar,474505,yes,50,International,960077,17446,881
Emission Control Program in China #1012,Emission Control Program,China,Green Earth Alliance,889,2014,2022,0.17,0.26,74967,Government,89,Solar,430576,yes,74,International,887526,45040,855
Waste Management Plan in India #1013,Waste Management Plan,India,Green Growth Initiative,1980,2013,2028,0.17,0.65,64525,Private Sector,85,Bioenergy,342738,yes,62,International,86581,2164,179
Renewable Energy Project in India #1014,Renewable Energy Project,India,Earth Guardians,913,2025,2030,0.31,0.35,87361,Private Sector,56,Hydropower,345511,yes,56,International,1209893,7740,394
Green Infrastructure Development in UK #1015,Green Infrastructure Development,UK,Global Renewable Group,1748,2013,2028,0.95,0.76,18429,Government,52,Hydropower,411200,yes,86,National,736473,2058,493
Reforestation Initiative in Canada #1016,Reforestation Initiative,Canada,Green Earth Alliance,885,2019,2033,0.7,0.18,35047,International Aid,82,Solar,73204,yes,70,National,1755151,19750,323
Renewable Energy Project in UK #1017,Renewable Energy Project,UK,Clean Energy Foundation,653,2010,2015,0.19,0.18,78752,International Aid,83,Geothermal,253899,no,66,International,1678929,49306,513
Waste Management Plan in Japan #1018,Waste Management Plan,Japan,Global Renewable Group,324,2025,2038,0.52,0.48,76375,International Aid,98,Bioenergy,432601,yes,62,International,1124275,16628,372
Renewable Energy Project in Australia #1019,Renewable Energy Project,Australia,Global Renewable Group,1438,2015,2026,0.17,0.79,94846,Government,97,Geothermal,256403,no,75,National,1616643,22061,598
Reforestation Initiative in UK #1020,Reforestation Initiative,UK,Zero Emissions Initiative,416,2018,2031,0.56,0.62,71898,Government,72,Hydropower,200116,no,87,National,547993,42711,639
Energy Efficiency Campaign in China #1021,Energy Efficiency Campaign,China,Earth Guardians,977,2011,2019,0.27,0.42,66967,International Aid,78,None,488464,yes,69,International,1144923,27816,719
Sustainable Agriculture Program in Canada #1022,Sustainable Agriculture Program,Canada,Sustainable Future Org,456,2022,2034,0.59,0.56,96131,International Aid,73,Hydropower,62175,no,99,International,284639,16161,998
Emission Control Program in China #1023,Emission Control Program,China,Zero Emissions Initiative,638,2011,2026,0.99,0.68,64297,Private Sector,92,Bioenergy,485115,yes,51,International,1937897,47328,746
Renewable Energy Project in India #1024,Renewable Energy Project,India,Sustainable Future Org,1016,2024,2032,0.84,0.84,10309,International Aid,51,None,423317,yes,91,International,778992,26324,566
Climate Education Program in UK #1025,Climate Education Program,UK,Green Earth Alliance,1341,2025,2040,0.97,0.55,20003,Private Sector,56,Bioenergy,236056,no,57,International,1024437,879,865
Clean Transportation Initiative in France #1026,Clean Transportation Initiative,France,Green Growth Initiative,1279,2020,2034,0.51,0.32,99064,International Aid,74,Solar,256703,yes,100,International,1840920,17737,432
Climate Education Program in UK #1027,Climate Education Program,UK,Clean Energy Foundation,1492,2025,2036,0.14,0.38,11395,International Aid,89,Wind,174250,yes,69,National,1618743,6951,457
Climate Education Program in Germany #1028,Climate Education Program,Germany,Climate Action Network,738,2023,2030,0.36,0.35,46696,International Aid,67,Hydropower,176218,yes,50,National,746175,47032,164
